iter	RMSE
0	0.6815493753
1	0.6620823923
2	0.6486366554
3	0.6333032814
4	0.6190079402
5	0.6067807666
6	0.594954779
7	0.5861108843
8	0.5777386049
9	0.5703209317
10	0.5647031148
11	0.5569934812
12	0.5510905956
13	0.5452856331
14	0.5398957259
15	0.5368295551
16	0.5318509069
17	0.5263828373
18	0.5210088989
19	0.517297421
20	0.5137790142
21	0.5108159478
22	0.5070838821
23	0.5041803709
24	0.5022057618
25	0.4994270157
26	0.4966124793
27	0.4948858069
28	0.4926076969
29	0.4915629029
30	0.4883782536
31	0.4867493116
32	0.4844913484
33	0.4826539679
34	0.4802744082
35	0.4789548844
36	0.4773042647
37	0.4760326348
38	0.4737610597
39	0.4719481502
40	0.4703701041
41	0.4681063443
42	0.4670165911
43	0.465028305
44	0.462146013
45	0.4604448319
46	0.4596220579
47	0.4582347314
48	0.4566852789
49	0.4549864348
50	0.4532439649
51	0.4514571943
52	0.4497033831
53	0.4483120273
54	0.4478539366
55	0.4460097232
56	0.4450488553
57	0.444372497
58	0.4430398776
59	0.4415762639
60	0.4395273013
61	0.4387087094
62	0.437697447
63	0.4352143316
64	0.4336719144
65	0.4320451882
66	0.4307992699
67	0.4297758885
68	0.4293270319
69	0.4269509529
70	0.42431201
71	0.4229913913
72	0.4204312192
73	0.4195097441
74	0.4190647008
75	0.4171029482
76	0.4161000208
77	0.4157817487
78	0.4138393957
79	0.4135828764
80	0.4132690992
81	0.4130399421
82	0.4128283286
83	0.4125067533
84	0.4122796587
85	0.4117046561
86	0.4114078251
87	0.4096306738
88	0.4093362844
89	0.4067866445
90	0.4046095869
91	0.403963609
92	0.4030572214
93	0.4018816957
94	0.3998133931
95	0.3983325776
96	0.3968369485
97	0.3962036888
98	0.3952643664
99	0.3931407021
