iter	Passed	Remaining
0	11	1102
1	12	590
2	12	413
3	14	340
4	15	293
5	16	254
6	17	227
7	17	206
8	18	190
9	19	176
10	20	164
11	21	155
12	21	146
13	22	139
14	23	132
15	24	126
16	25	122
17	25	116
18	26	112
19	27	109
20	28	107
21	29	105
22	30	103
23	31	100
24	32	97
25	33	94
26	34	92
27	35	90
28	36	88
29	36	85
30	37	83
31	38	81
32	39	79
33	39	77
34	40	75
35	41	73
36	42	72
37	43	70
38	44	69
39	45	68
40	46	66
41	47	65
42	48	64
43	49	62
44	50	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	42
61	68	41
62	68	40
63	69	39
64	70	38
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	77	31
71	78	30
72	79	29
73	79	28
74	81	27
75	81	25
76	82	24
77	83	23
78	84	22
79	84	21
80	85	20
81	86	18
82	87	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
